title,description,response,data
HP bloqueia cartuchos alternativos,"Após atualizar o firmware, a minha HP Pro 9020 ficou com problemas e não reconhece mais os cartuchos HP 63. Já tentei várias vezes, mas não há solução.",Não Respondida,Há 7 dias
Cartuchos HP 63 não funcionam mais após atualização,Minha impressora HP Pro 9020 parou de aceitar cartuchos alternativos após a última atualização de firmware. A impressão parou completamente e não consigo mais usar a impressora.,Respondida,Há 5 dias
Cartucho HP 63 não reconhecido pela impressora,A assistência da HP não tem dado retorno quanto ao problema de firmware que estou enfrentando. Eles não estão nem tentando ajudar.,Respondida,Há 10 dias
HP Pro 9020 trava durante impressão,"Comprei uma impressora HP nos EUA e agora, quando precisei de suporte no Brasil, a HP se recusou a atender. Isso é um total desrespeito com o consumidor.",Respondida,Há 11 dias
Cartucho HP 63 não reconhecido pela impressora,"Comprei uma impressora HP nos EUA e agora, quando precisei de suporte no Brasil, a HP se recusou a atender. Isso é um total desrespeito com o consumidor.",Respondida,Há 20 dias
Erro de firmware faz impressora HP travar,"Após atualizar o driver da minha impressora HP 9020, ela simplesmente parou de funcionar. Não imprime mais nada e continua com erro.",Respondida,Há 3 dias
Reclamação de não suporte a impressoras compradas no exterior,O suporte da HP não resolveu o problema que estou tendo com a minha impressora. Já fui várias vezes até a assistência e nada foi feito.,Não Respondida,Há 8 dias
Cartucho HP 63 não reconhecido pela impressora,"Após a última atualização do firmware, a minha impressora HP parou de imprimir e ficou com o visor travado. Tentei reinstalar o driver e nada funcionou.",Não Respondida,Há 5 dias
Reclamação de não suporte a impressoras compradas no exterior,"Comprei uma impressora HP nos EUA e agora, quando precisei de suporte no Brasil, a HP se recusou a atender. Isso é um total desrespeito com o consumidor.",Não Respondida,Há 2 dias
HP Pro 9020 não reconhece papel A4,"A HP bloqueou o uso de cartuchos alternativos com a nova atualização de firmware. Isso é um absurdo, pois eu sempre usei cartuchos compatíveis.",Não Respondida,Há 19 dias
Impressora HP não imprime cores após atualização,Os cartuchos HP 63 simplesmente não funcionam mais na minha impressora HP Pro 9020 após a atualização do firmware. Preciso de ajuda para resolver esse problema.,Não Respondida,Há 11 dias
Problema de compatibilidade de cartuchos HP 63 com firmware,A impressora HP Pro 9020 simplesmente não reconhece o tamanho do papel A4 após o update de firmware. Está dando erro toda vez que tento imprimir.,Não Respondida,Há 14 dias
Suporte da HP não responde e não resolve problemas,A impressora HP Pro 9020 não conecta mais ao Wi-Fi depois da última atualização. Eu já fiz todos os procedimentos sugeridos pelo suporte e nada funciona.,Não Respondida,Há 6 dias
HP Pro 9020 não reconhece papel A4,"A HP bloqueou o uso de cartuchos alternativos com a nova atualização de firmware. Isso é um absurdo, pois eu sempre usei cartuchos compatíveis.",Não Respondida,Há 17 dias
Impressora HP não imprime cores após atualização,A impressora HP Pro 9020 simplesmente não reconhece o tamanho do papel A4 após o update de firmware. Está dando erro toda vez que tento imprimir.,Não Respondida,Há 20 dias
HP bloqueia cartuchos alternativos,"Após a atualização do firmware, o cartucho HP 63 não é mais reconhecido na impressora. Acredito que foi uma falha na atualização.",Não Respondida,Há 8 dias
Erro de firmware faz impressora HP travar,A impressora HP parou de imprimir nas cores depois da atualização. Só sai impressão em preto e branco. Preciso de ajuda para resolver isso!,Não Respondida,Há 2 dias
Suporte da HP não resolve problema de cartuchos,"Após atualizar o firmware, a minha HP Pro 9020 ficou com problemas e não reconhece mais os cartuchos HP 63. Já tentei várias vezes, mas não há solução.",Não Respondida,Há 18 dias
HP se recusa a fornecer suporte técnico no Brasil,A impressora HP parou de imprimir nas cores depois da atualização. Só sai impressão em preto e branco. Preciso de ajuda para resolver isso!,Não Respondida,Há 13 dias
HP se recusa a fornecer suporte técnico no Brasil,"Após a última atualização do firmware, a minha impressora HP parou de imprimir e ficou com o visor travado. Tentei reinstalar o driver e nada funcionou.",Respondida,Há 14 dias
Erro de firmware faz impressora HP travar,"O modelo HP 9020 está com problemas após o update de firmware. Agora os cartuchos não são mais reconhecidos, só os originais funcionam.",Respondida,Há 4 dias
Impressora HP Pro 9020 não reconhece cartuchos alternativos,A impressora não imprime mais depois de eu realizar a atualização. Está com uma tela de erro e o suporte não resolveu.,Não Respondida,Há 17 dias
Problemas com drivers da impressora HP Pro 9020,A impressora HP Pro 9020 simplesmente não reconhece o tamanho do papel A4 após o update de firmware. Está dando erro toda vez que tento imprimir.,Não Respondida,Há 20 dias
A impressora HP Pro 9020 não conecta ao Wi-Fi,"Comprei uma impressora HP nos EUA e agora, quando precisei de suporte no Brasil, a HP se recusou a atender. Isso é um total desrespeito com o consumidor.",Não Respondida,Há 19 dias
Impressora HP Pro 9020 não reconhece cartuchos alternativos,A assistência da HP não tem dado retorno quanto ao problema de firmware que estou enfrentando. Eles não estão nem tentando ajudar.,Não Respondida,Há 20 dias
Atualização de firmware bloqueia cartuchos não originais,"A HP bloqueou o uso de cartuchos alternativos com a nova atualização de firmware. Isso é um absurdo, pois eu sempre usei cartuchos compatíveis.",Não Respondida,Há 12 dias
Impressora HP Pro 9020 não reconhece cartuchos alternativos,"Após a atualização do firmware, o cartucho HP 63 não é mais reconhecido na impressora. Acredito que foi uma falha na atualização.",Não Respondida,Há 18 dias
HP Pro 9020 não reconhece papel A4,A impressora não imprime mais depois de eu realizar a atualização. Está com uma tela de erro e o suporte não resolveu.,Não Respondida,Há 16 dias
Suporte da HP não responde e não resolve problemas,A minha HP Pro 9020 está bloqueando cartuchos alternativos após a última atualização. Isso é um absurdo! Não quero ser forçado a usar cartuchos originais.,Não Respondida,Há 5 dias
Suporte da HP não resolve problema de cartuchos,"Após atualizar o firmware, a minha HP Pro 9020 ficou com problemas e não reconhece mais os cartuchos HP 63. Já tentei várias vezes, mas não há solução.",Não Respondida,Há 18 dias
Reclamação de não suporte a impressoras compradas no exterior,"Após atualizar o driver da minha impressora HP 9020, ela simplesmente parou de funcionar. Não imprime mais nada e continua com erro.",Não Respondida,Há 6 dias
Impressora HP parou de imprimir após atualização,Os cartuchos HP 63 simplesmente não funcionam mais na minha impressora HP Pro 9020 após a atualização do firmware. Preciso de ajuda para resolver esse problema.,Não Respondida,Há 10 dias
Erro de firmware faz impressora HP travar,"Desde a última atualização, minha impressora HP Pro 9020 trava durante o processo de impressão e não consegue finalizar nenhuma tarefa.",Não Respondida,Há 5 dias
A impressora HP Pro 9020 não conecta ao Wi-Fi,"Após atualizar o driver da minha impressora HP 9020, ela simplesmente parou de funcionar. Não imprime mais nada e continua com erro.",Respondida,Há 5 dias
Problemas com drivers da impressora HP Pro 9020,"Após atualizar o driver da minha impressora HP 9020, ela simplesmente parou de funcionar. Não imprime mais nada e continua com erro.",Não Respondida,Há 16 dias
Impressora HP parou de imprimir após atualização,"Após a atualização do firmware, a impressora passou a bloquear cartuchos alternativos e só aceita os cartuchos originais. Isso é um péssimo custo-benefício.",Respondida,Há 7 dias
Reclamação de não suporte a impressoras compradas no exterior,"O modelo HP 9020 está com problemas após o update de firmware. Agora os cartuchos não são mais reconhecidos, só os originais funcionam.",Não Respondida,Há 6 dias
Impressora HP parou de imprimir após atualização,"Após a última atualização do firmware, a minha impressora HP parou de imprimir e ficou com o visor travado. Tentei reinstalar o driver e nada funcionou.",Respondida,Há 4 dias
Impressora HP não imprime cores após atualização,A impressora não imprime mais depois de eu realizar a atualização. Está com uma tela de erro e o suporte não resolveu.,Respondida,Há 11 dias
Impressora HP não imprime cores após atualização,Os cartuchos HP 63 simplesmente não funcionam mais na minha impressora HP Pro 9020 após a atualização do firmware. Preciso de ajuda para resolver esse problema.,Respondida,Há 15 dias
HP se recusa a fornecer suporte técnico no Brasil,"Após atualizar o driver da minha impressora HP 9020, ela simplesmente parou de funcionar. Não imprime mais nada e continua com erro.",Não Respondida,Há 18 dias
HP Pro 9020 não reconhece papel A4,A assistência da HP não tem dado retorno quanto ao problema de firmware que estou enfrentando. Eles não estão nem tentando ajudar.,Respondida,Há 19 dias
Assistência técnica da HP não resolve problema de impressão,Comprei minha impressora HP fora do Brasil e o suporte da empresa aqui se recusa a ajudar com qualquer tipo de problema de firmware.,Respondida,Há 20 dias
Impressora HP Pro 9020 não reconhece cartuchos alternativos,"Após a última atualização do firmware, a minha impressora HP parou de imprimir e ficou com o visor travado. Tentei reinstalar o driver e nada funcionou.",Não Respondida,Há 16 dias
Assistência técnica da HP não resolve problema de impressão,Os cartuchos HP 63 simplesmente não funcionam mais na minha impressora HP Pro 9020 após a atualização do firmware. Preciso de ajuda para resolver esse problema.,Respondida,Há 3 dias
HP se recusa a fornecer suporte técnico no Brasil,Minha impressora HP Pro 9020 parou de aceitar cartuchos alternativos após a última atualização de firmware. A impressão parou completamente e não consigo mais usar a impressora.,Respondida,Há 19 dias
HP Pro 9020 trava durante impressão,"Depois de uma atualização, minha impressora HP Pro 9020 travou completamente e não imprime mais. Ela não sai da tela de erro.",Respondida,Há 2 dias
Problema com atualização de firmware na impressora HP,"Após a última atualização do firmware, a minha impressora HP parou de imprimir e ficou com o visor travado. Tentei reinstalar o driver e nada funcionou.",Não Respondida,Há 5 dias
HP Pro 9020 não reconhece papel A4,Os cartuchos HP 63 simplesmente não funcionam mais na minha impressora HP Pro 9020 após a atualização do firmware. Preciso de ajuda para resolver esse problema.,Não Respondida,Há 8 dias
HP bloqueia cartuchos alternativos,A impressora HP Pro 9020 simplesmente não reconhece o tamanho do papel A4 após o update de firmware. Está dando erro toda vez que tento imprimir.,Não Respondida,Há 4 dias
Suporte da HP não responde e não resolve problemas,"Após atualizar o driver da minha impressora HP 9020, ela simplesmente parou de funcionar. Não imprime mais nada e continua com erro.",Respondida,Há 1 dias
HP se recusa a fornecer suporte técnico no Brasil,"Após a atualização do firmware, o cartucho HP 63 não é mais reconhecido na impressora. Acredito que foi uma falha na atualização.",Não Respondida,Há 1 dias
Atualização de firmware bloqueia cartuchos não originais,Minha impressora HP Pro 9020 parou de aceitar cartuchos alternativos após a última atualização de firmware. A impressão parou completamente e não consigo mais usar a impressora.,Não Respondida,Há 8 dias
Impressora HP parou de imprimir após atualização,"Comprei uma impressora HP nos EUA e agora, quando precisei de suporte no Brasil, a HP se recusou a atender. Isso é um total desrespeito com o consumidor.",Respondida,Há 19 dias
Impressora HP parou de imprimir após atualização,A impressora não imprime mais depois de eu realizar a atualização. Está com uma tela de erro e o suporte não resolveu.,Não Respondida,Há 12 dias
Problema com atualização de firmware na impressora HP,O suporte da HP não resolveu o problema que estou tendo com a minha impressora. Já fui várias vezes até a assistência e nada foi feito.,Não Respondida,Há 8 dias
Cartucho HP 63 não reconhecido pela impressora,"Entrei em contato com o suporte da HP para resolver o problema com cartuchos incompatíveis, mas eles não deram uma solução efetiva até agora.",Não Respondida,Há 1 dias
HP Pro 9020 trava durante impressão,A impressora HP Pro 9020 simplesmente não reconhece o tamanho do papel A4 após o update de firmware. Está dando erro toda vez que tento imprimir.,Não Respondida,Há 14 dias
Impressora HP Pro 9020 não reconhece cartuchos alternativos,O suporte da HP não resolveu o problema que estou tendo com a minha impressora. Já fui várias vezes até a assistência e nada foi feito.,Respondida,Há 12 dias
HP Pro 9020 não reconhece papel A4,"Após atualizar o firmware, a minha HP Pro 9020 ficou com problemas e não reconhece mais os cartuchos HP 63. Já tentei várias vezes, mas não há solução.",Não Respondida,Há 6 dias
